,r,i,v,b,g
DEC,"[42.7131, 42.7645091, 42.703497, 42.6863565, 42.8188866, 42.7246391, 42.7979143, 42.6800865, 42.7205222, 42.7001379, 42.820278, 42.8240584, 42.6754447, 42.7049759, 42.8454453, 42.7837346, 42.7137243, 42.829732, 42.7474719, 42.7004007, 42.7580711, 42.7711335, 42.8304077, 42.8550339, 42.826082, 42.7602196, 42.7802404, 42.6993315, 42.8800507, 42.7779662, 42.7471183, 42.8664675, 42.8805302, 42.8560937, 42.7863795, 42.6450621, 42.7531771, 42.8322894, 42.8437209, 42.7033491, 42.7074375, 42.828507, 42.7658072, 42.7962643, 42.8507576, 42.7834449, 42.7483733, 42.6549372, 42.6839522, 42.814881, 42.7918546, 42.7898343, 42.7675912, 42.7379006, 42.6733633, 42.8134861, 42.8914964, 42.7956635, 42.7177099, 42.6418355, 42.7438292, 42.6511666, 42.6885635, 42.7706312, 42.8605819, 42.7157378, 42.7140045, 42.7274783, 42.8180813, 42.8168545, 42.7057292, 42.7717184, 42.6513598, 42.8792223, 42.7000689, 42.6281373]","[42.713079, 42.7644903, 42.7035254, 42.6863313, 42.8189216, 42.72466, 42.7979791, 42.6800985, 42.7205746, 42.7001354, 42.8202868, 42.824085, 42.6754861, 42.7049857, 42.8454911, 42.7838318, 42.713713, 42.8297635, 42.7474796, 42.7004208, 42.7580723, 42.7711827, 42.8304203, 42.8549856, 42.8260899, 42.7602299, 42.78026, 42.6993209, 42.8800645, 42.777952, 42.7471262, 42.8664645, 42.8805665, 42.8560908, 42.7863839, 42.6450197, 42.7531838, 42.83227, 42.8436586, 42.7033425, 42.7074398, 42.8284962, 42.7658071, 42.7962473, 42.8507681, 42.7834689, 42.7483673, 42.6549264, 42.6839772, 42.8148991, 42.7918487, 42.7898237, 42.7676071, 42.7379076, 42.673365, 42.813481, 42.8914973, 42.7956864, 42.7177781, 42.6418484, 42.7438119, 42.6511276, 42.688544, 42.7706477, 42.8605369, 42.715737, 42.714026, 42.7275385, 42.8180869, 42.8168742, 42.7057189, 42.7717262, 42.6513829, 42.8791843, 42.7000369, 42.6281972]","[42.7130175, 42.7645167, 42.7035154, 42.6863829, 42.8190932, 42.7247118, 42.7980954, 42.6800862, 42.7205616, 42.7001412, 42.8204471, 42.8242336, 42.6754442, 42.7049832, 42.8456689, 42.7839091, 42.7137264, 42.8298974, 42.7475294, 42.7004167, 42.7581388, 42.7712196, 42.8305556, 42.8551501, 42.8262242, 42.7602583, 42.7803254, 42.6992858, 42.8802176, 42.7780194, 42.747147, 42.8666033, 42.8806935, 42.8561889, 42.7864481, 42.6448876, 42.7532095, 42.8324066, 42.8439035, 42.7032942, 42.7073996, 42.82864, 42.7658497, 42.7963559, 42.8509011, 42.7835004, 42.7483788, 42.6548113, 42.6838434, 42.8149823, 42.791896, 42.7898693, 42.7676136, 42.7378658, 42.6732653, 42.8135649, 42.8916461, 42.7957047, 42.7176553, 42.6417338, 42.7437935, 42.6510311, 42.6884494, 42.7706418, 42.8606858, 42.7156798, 42.7139445, 42.7274841, 42.8181446, 42.8168991, 42.7056403, 42.7717111, 42.6512125, 42.8793242, 42.6999564, 42.6280792]","[42.7131536, 42.7645625, 42.7035398, 42.686485, 42.8189808, 42.7246724, 42.7980512, 42.6801589, 42.7205148, 42.7002026, 42.8203253, 42.8241233, 42.6755515, 42.7050585, 42.8455119, 42.7837823, 42.7137268, 42.8297667, 42.7474892, 42.7003723, 42.7581096, 42.7712177, 42.8304898, 42.855093, 42.8261199, 42.7602104, 42.7802919, 42.6993623, 42.8800478, 42.7779844, 42.7471398, 42.8664616, 42.8805455, 42.8561107, 42.7864058, 42.6450428, 42.7532095, 42.8323056, 42.843855, 42.7033498, 42.7074559, 42.8284894, 42.7658435, 42.7962763, 42.8508096, 42.7834544, 42.748388, 42.6549827, 42.6839796, 42.8148865, 42.7918435, 42.7898246, 42.7675955, 42.737892, 42.6734032, 42.8135055, 42.8917646, 42.7957354, 42.7176724, 42.641888, 42.7438314, 42.6511667, 42.6885831, 42.7706497, 42.8605917, 42.7157548, 42.713761, 42.7275611, 42.8180479, 42.8168851, 42.7057452, 42.7717124, 42.6511428, 42.879197, 42.6997866, 42.6281969]","[42.71299278770965, 42.764400180584495, 42.70348585133267, 42.68629704984498, 42.81889658099008, 42.724618918124, 42.797903824231916, 42.680048554149714, 42.72049248558593, 42.70006569734813, 42.82027628578421, 42.8240537007431, 42.67537285184478, 42.70490025420465, 42.84544428975202, 42.783751977441, 42.71364468075417, 42.82971489560727, 42.747429789641906, 42.7003063756261, 42.75804396955602, 42.77112851840901, 42.830357034025695, 42.85487713303622, 42.826033956696506, 42.76013370404234, 42.780191107621924, None, 42.88003030593175, 42.77792952805327, 42.74706469977801, 42.86645226730637, 42.88051328770857, 42.85610423932463, 42.78634738855989, 42.644990741794885, 42.75310838054109, 42.83226225918922, 42.84371151093076, 42.70322176529918, 42.70739150081594, 42.82851231829039, 42.76575185123858, 42.79624678231643, 42.85072307235162, 42.78340093139458, 42.74830920948911, 42.65484199049536, 42.683848131375015, 42.814829684632166, 42.79181976799275, 42.789786836334045, 42.7675348945523, 42.73789941464849, 42.673272628204764, 42.813424936491565, 42.89143363038337, 42.79561089252138, 42.717606371750485, 42.64173386208104, 42.743733947529314, 42.65103847047865, 42.688456975272366, 42.77058091426563, 42.860537383525475, 42.71567219288517, 42.7138924017508, 42.727407490170606, 42.8180378438271, 42.816789706029695, 42.7056398849371, 42.7716283941714, 42.65120519231332, 42.87919685400994, 42.69996635573973, 42.62808937948856]"
ID,,,,,"[337164003707585920, 337165584255547008, 337172662361656320, 337172288701093632, 337175552875965824, 337173525651437568, 337175415437021824, 337172323060610944, 337173113334580224, 337173078974848000, 337178439093990656, 337178503517166208, 337172975895643648, 337173147694323968, 337178537876901888, 337176824186301440, 337173353852753280, 337177236503146624, 337176377509719424, 337173216413805312, 337176446229194752, 337176648091300736, 337177923697917696, 337178091200302592, 337177889338182400, 337176549308410752, 337177373942124672, None, 337190014029514240, 337177404005543552, 337153837521356928, 337189979669777024, 337190018325811456, 337177850682133760, 337177408301862784, 337152153894211712, 337153837521355520, 337177820618707712, 337189571649224832, 337152566211055104, 337153322125297408, 337177717539493504, 337154112399259008, 337154215478462720, 337189640368700416, 337154181118730752, 337153974960313344, 337152394412380032, 337153184686353280, 337165966508978688, 337165932149250176, 337165829070036608, 337154073743193088, 337153597003194624, 337153146030266752, 337166000868718592, 337190666871477760, 337165893493188096, 337153459564251520, 337151638498142464, 337153631361117952, 337151604138401024, 337151943439422208, 337165481176331008, 337167066020594304, 337153493924213888, 337153493923993344, 337165275017903744, 337166172667412096, 337166134011354624, 337163733124237824, 337165657269539712, 337151840360210688, 337167370961929600, 337163698766295936, 337124936685069824]"
RA,"[40.3901113, 40.3942502, 40.7324661, 40.7274825, 40.7340655, 40.7139869, 40.7139707, 40.6991985, 40.6946277, 40.6886506, 40.6905419, 40.6864976, 40.6768419, 40.6793599, 40.68691, 40.6692583, 40.6577418, 40.6627078, 40.6439736, 40.6389327, 40.6135543, 40.6155243, 40.6136245, 40.6097012, 40.6022123, 40.5922306, 40.5788015, 40.5548538, 40.5686399, 40.5560297, 40.5540039, 40.5601629, 40.5608986, 40.5589975, 40.550497, 40.5340871, 40.5420861, 40.5441182, 40.5440222, 40.5274544, 40.5240402, 40.5391783, 40.5266707, 40.528562, 40.5235592, 40.5122669, 40.5073581, 40.4951129, 40.498143, 40.5017156, 40.4934334, 40.4863836, 40.4932768, 40.4904642, 40.4767612, 40.4909248, 40.4945892, 40.4777987, 40.4694675, 40.4602717, 40.4677575, 40.4500982, 40.4494678, 40.451981, 40.461797, 40.4461185, 40.4414142, 40.4474312, 40.4521423, 40.4396463, 40.4166028, 40.4224141, 40.4102894, 40.4154068, 40.392796, 40.7389961]","[40.390148, 40.3942884, 40.7325279, 40.7275455, 40.7340914, 40.7140419, 40.7139977, 40.6992681, 40.6946647, 40.6887336, 40.6905616, 40.6865316, 40.6768833, 40.6794548, 40.6869422, 40.6692961, 40.6577818, 40.6627049, 40.6439942, 40.6390011, 40.6135861, 40.6155788, 40.6135287, 40.6095907, 40.6021967, 40.592252, 40.5787798, 40.5549015, 40.5685846, 40.5560342, 40.5540378, 40.5601295, 40.5608596, 40.5589687, 40.5504917, 40.5341288, 40.5421228, 40.5440993, 40.5441507, 40.5275308, 40.5241147, 40.5391829, 40.5266995, 40.5285835, 40.5235152, 40.5122819, 40.5074033, 40.4951843, 40.4981689, 40.5017297, 40.4934539, 40.4864142, 40.493295, 40.4904977, 40.476826, 40.4909264, 40.4946488, 40.477812, 40.4695406, 40.4603443, 40.4678223, 40.4501186, 40.4495156, 40.4520128, 40.4617928, 40.4461868, 40.441423, 40.4475015, 40.4521704, 40.4396513, 40.4166356, 40.4224268, 40.4103803, 40.4153735, 40.3928655, 40.7390805]","[40.3901505, 40.3942742, 40.7325619, 40.727445, 40.7341795, 40.7140331, 40.7140485, 40.6992034, 40.6946626, 40.6886615, 40.6906467, 40.6865974, 40.6768461, 40.6794089, 40.6870688, 40.6693633, 40.6577558, 40.6627918, 40.6440023, 40.6389126, 40.6135659, 40.61556, 40.6136608, 40.6097585, 40.6022553, 40.5922608, 40.5788059, 40.5548341, 40.5687236, 40.5560625, 40.554031, 40.5602576, 40.5609946, 40.5590776, 40.550535, 40.5340155, 40.5421213, 40.5441842, 40.5441304, 40.5274517, 40.5240464, 40.5391993, 40.5266934, 40.5286247, 40.5236082, 40.5122967, 40.5073897, 40.4950958, 40.4980843, 40.5018243, 40.4935076, 40.4864583, 40.4933094, 40.490504, 40.4767448, 40.49103, 40.4946604, 40.4778816, 40.4694283, 40.4602386, 40.4677761, 40.4500419, 40.4494651, 40.4520591, 40.4619034, 40.4461452, 40.4414469, 40.4474889, 40.4522528, 40.4397383, 40.416614, 40.4224639, 40.4102301, 40.4155222, 40.3927585, 40.7389571]","[40.3901144, 40.3941707, 40.7327713, 40.7274012, 40.7341424, 40.7140513, 40.7138784, 40.6992417, 40.6946544, 40.6886925, 40.6906369, 40.6865533, 40.6768888, 40.6794681, 40.6870192, 40.6693803, 40.6577559, 40.6627499, 40.6440177, 40.6389214, 40.6135643, 40.6155833, 40.6134823, 40.6097311, 40.6021751, 40.5922436, 40.5788005, 40.554924, 40.5686423, 40.5560192, 40.5540112, 40.5601653, 40.5609022, 40.5589779, 40.5505037, 40.5340536, 40.5421236, 40.5441328, 40.5439911, 40.5274233, 40.5240618, 40.5390975, 40.5266527, 40.5285155, 40.5235701, 40.5122179, 40.5073611, 40.4951166, 40.4982008, 40.5017088, 40.4934425, 40.4863883, 40.4932624, 40.4905551, 40.4767683, 40.491118, 40.4945588, 40.4778582, 40.4695182, 40.4603786, 40.4677471, 40.4500514, 40.4494851, 40.4519907, 40.4617818, 40.4461224, 40.44122, 40.4473457, 40.4522481, 40.4396249, 40.4166011, 40.4224145, 40.4105205, 40.4153628, 40.3926932, 40.7392212]","[40.39013661971836, 40.39425538532705, 40.732545944459915, 40.727596574583615, 40.7341543539816, 40.7141000545705, 40.714042338028015, 40.69927674022755, 40.69473518281373, 40.68873924784104, 40.69062454385164, 40.68655407500199, 40.67687640272038, 40.679430486894, 40.68696755371442, 40.66932347690904, 40.6578191351673, 40.66275249459271, 40.644045877277755, 40.63904389176815, 40.61360560456992, 40.61560277252408, 40.61367672992982, 40.6097688463932, 40.60219084708198, 40.59228414796736, 40.57884074561054, None, 40.568643038763035, 40.556082557507, 40.55402097899317, 40.56015662019265, 40.56085773905225, 40.55899385452378, 40.55055627130481, 40.534124483064616, 40.54210222792657, 40.54415663176536, 40.54398189625681, 40.527492081958606, 40.524071294619475, 40.539160795459324, 40.52669446314544, 40.52863730755716, 40.52354490215712, 40.512327982001715, 40.507381459809935, 40.49518039581339, 40.498175486747904, 40.50178079790693, 40.49350797569965, 40.48643121609445, 40.493321436616185, 40.49033561033182, 40.476811207198566, 40.4911570242362, 40.49456657326677, 40.47782734604233, 40.46941425001991, 40.460302164028725, 40.46779219872438, 40.450136456046486, 40.44952822911924, 40.4520216751179, 40.461806317506195, 40.44615370834169, 40.44141000551354, 40.44747916465794, 40.45217075285815, 40.439667203441665, 40.41663598226982, 40.42242324502674, 40.410278194940865, 40.41541529973365, 40.39277128787749, 40.73908902171304]"
dist,,,,,"[0.00010602478068695197, 0.00010737120913809546, 5.092724178435967e-05, 9.48370145299604e-05, 5.773323558644165e-05, 7.675247692887648e-05, 4.480030878829685e-05, 6.0862313395100284e-05, 7.570844257529926e-05, 9.036712969321607e-05, 5.198351597896103e-05, 3.292442153373192e-05, 7.212960876367986e-05, 8.567020193272815e-05, 3.3569739128249074e-05, 4.358877060700558e-05, 9.162892504994518e-05, 2.864678087070712e-05, 6.007848547516919e-05, 0.00011799699380723913, 3.8608984160000646e-05, 4.907928544789335e-05, 5.7269844936966114e-05, 0.00016040403981049597, 5.237979701416124e-05, 8.963221986084237e-05, 5.171137707656329e-05, None, 1.976282027044132e-05, 4.62003540239385e-05, 5.207342775220944e-05, 1.8950996806818728e-05, 4.147967275917967e-05, 1.6645571561937466e-05, 4.627945654225906e-05, 7.219378725090562e-05, 6.712383884335959e-05, 3.210434370603059e-05, 3.896078518830079e-05, 0.00012710027399645435, 4.6551026411256166e-05, 2.2584563064115355e-05, 5.4395890213690595e-05, 4.924030128737554e-05, 3.8015711569527694e-05, 5.566913504369289e-05, 6.300005396725008e-05, 0.00010213324589895753, 0.00010352914830024935, 6.324965417749056e-05, 5.677939196031932e-05, 5.2813732170127834e-05, 5.972918115043852e-05, 0.00010308474691567459, 9.334497060204622e-05, 0.00017231146434989905, 6.610099581009844e-05, 5.2424795507177084e-05, 0.00011250518900598115, 0.0001009179462277768, 9.509147622647663e-05, 0.0001279608660501973, 0.00011079783136822653, 5.3051130231777305e-05, 4.289069389820649e-05, 6.622508223813453e-05, 0.00011105669481356624, 7.408525137267678e-05, 4.3546157530859837e-05, 6.348609622258029e-05, 8.90583021108123e-05, 8.836689427823821e-05, 0.00015387781230724351, 2.3908708352129335e-05, 0.00010438682034557211, 7.553322457164291e-05]"
mag,"[-14.1179, -13.1412, -12.8288, -12.7234, -15.1214, -14.3099, -13.3154, -15.4683, -13.2601, -14.7176, -17.1066, -15.7339, -13.3309, -13.2894, -13.5685, -12.9858, -13.7327, -14.6355, -14.5718, -13.2271, -16.4652, -13.8516, -13.1687, -12.3466, -14.4044, -16.7634, -13.657, -17.261, -14.6203, -16.762, -16.016, -16.437, -15.5568, -14.0938, -15.911, -12.9959, -14.8298, -16.5643, -12.5793, -13.8199, -17.0295, -13.2705, -15.2738, -13.534, -13.6428, -14.1126, -16.1831, -14.6596, -13.0514, -13.3429, -16.9569, -16.9308, -14.1114, -13.4231, -15.3335, -13.5974, -12.4305, -13.8741, -12.6109, -13.9995, -13.8764, -13.2354, -14.0364, -16.6379, -14.5914, -14.8589, -13.0706, -13.0168, -13.3589, -13.609, -15.2466, -15.5274, -12.8568, -15.4479, -13.1342, -12.9581]","[-14.007, -12.7658, -12.5016, -12.3941, -14.4974, -13.9261, -13.2252, -14.844, -12.8176, -14.2143, -16.4988, -15.1097, -12.9431, -12.9415, -13.2269, -12.5276, -13.3684, -14.1964, -14.2297, -12.8364, -15.852, -13.3429, -13.0154, -12.2001, -14.2747, -16.1856, -13.318, -16.6797, -14.1385, -16.1904, -15.3619, -15.8447, -15.0192, -13.7484, -15.2967, -12.6781, -14.2763, -16.3343, -12.2276, -13.4373, -16.4419, -13.0984, -14.7764, -13.2534, -13.0748, -13.5285, -15.6062, -14.1966, -12.6753, -12.8761, -16.3729, -16.3204, -13.6658, -13.2138, -15.1903, -13.2804, -11.7625, -13.6753, -12.163, -14.0582, -13.446, -12.845, -13.639, -16.0242, -14.1088, -14.4653, -12.8143, -12.7052, -12.8599, -13.199, -15.126, -14.9098, -12.2823, -14.8949, -12.7924, -12.3655]","[-13.3956, -12.6167, -12.1263, -11.9887, -14.8176, -13.8176, -12.6962, -15.1638, -12.6865, -14.3, -16.9084, -15.4492, -12.746, -12.7242, -12.991, -12.3854, -13.2004, -14.1903, -14.1603, -12.6744, -16.2808, -13.3328, -12.6005, -11.924, -13.649, -16.5766, -13.1259, -17.0836, -14.1952, -16.5811, -15.7866, -16.2381, -15.245, -13.5113, -15.6716, -12.4559, -14.4545, -15.9725, -11.9209, -13.2584, -16.866, -12.5181, -14.9217, -13.0312, -13.1502, -13.7663, -15.9458, -14.2728, -12.4814, -12.6754, -16.7806, -16.749, -13.6469, -12.6914, -14.6118, -13.0301, -11.8133, -13.3477, -12.1191, -13.0508, -13.3753, -12.7192, -13.4885, -16.4629, -14.1798, -14.4801, -12.4466, -12.4885, -12.8552, -13.1234, -14.5039, -15.2393, -12.1745, -15.1744, -12.4752, -12.2223]","[-12.5087, -12.3229, -11.3246, -11.4856, -15.0534, -13.7367, -12.3617, -15.3832, -12.3703, -14.3177, -17.1432, -15.7015, -12.2531, -12.5113, -12.6261, -12.0677, -12.9476, -14.1258, -14.1839, -12.4355, -16.529, -13.0848, -12.1807, -11.7018, -12.8972, -16.8031, -12.8208, -17.3354, -14.1731, -16.7928, -16.0415, -16.4882, -15.4275, -13.1084, -15.9319, -12.1482, -14.4881, -15.0571, -11.4825, -13.3184, -17.1143, -12.0887, -15.0123, -12.8139, -12.9241, -13.8479, -16.1474, -14.3193, -12.0133, -12.1888, -17.0107, -16.986, -13.4886, -11.8154, -13.8776, -12.701, -11.529, -13.1544, -11.8288, -11.8034, -13.1885, -12.4117, -13.1807, -16.7272, -14.1915, -14.4968, -11.7436, -12.1663, -12.637, -12.9272, -13.7162, -15.4258, -11.0695, -15.389, -11.6258, -11.5869]","[12.0100155, 12.870287, 13.188314, 13.179166, 10.9101925, 11.738579, 12.808669, 10.604108, 12.714427, 11.32046, 8.249465, 10.288737, 12.707199, 12.729845, 12.443459, 13.0214405, 12.238515, 11.383089, 11.435862, 12.699638, 9.312699, 12.233851, 12.773405, 13.869157, 11.6680565, 8.872074, 12.394317, None, 11.408614, 8.802774, 9.923235, 9.307584, 10.440701, 11.961855, 10.018776, 12.983199, 11.145508, 9.35279, 13.523145, 12.334158, 8.324035, 13.085924, 10.701713, 12.339784, 12.382146, 11.759975, 9.705938, 11.411084, 13.05089, 12.660326, 8.4606695, 8.5168295, 11.83637, 12.7765875, 10.858964, 12.6116905, 13.687228, 12.191734, 13.307842, 12.104058, 12.088861, 12.782405, 12.064829, 8.993172, 11.428344, 11.191233, 13.050076, 13.007686, 12.651826, 12.453591, 10.945272, 10.45006, 13.4090185, 10.461576, 12.942654, 13.003897]"
